family,label,p_old,p_new,_merge,p_diff,sig_old,sig_new,sig_flip,known_fisher_noise
calibration.confidence_trend,[less],0.012351865438211493,0.012351865438211493,both,0.0,True,True,False,False
calibration.confidence_trend,[more],0.02597925208315739,0.02597925208315739,both,0.0,True,True,False,False
calibration.used_vs_ideal,[less] Ask to forget,0.0,0.0,both,0.0,True,True,False,False
calibration.used_vs_ideal,[less] Clear all history,0.0,0.0,both,0.0,True,True,False,False
calibration.used_vs_ideal,[less] Clear all memories,0.0001,0.0001,both,0.0,True,True,False,False
calibration.used_vs_ideal,[less] Delete account,0.0703,0.0703,both,0.0,False,False,False,False
calibration.used_vs_ideal,[less] Delete single conv,0.0001,0.0001,both,0.0,True,True,False,False
calibration.used_vs_ideal,[less] Delete specific mem,0.0,0.0,both,0.0,True,True,False,False
calibration.used_vs_ideal,[less] Privacy dashboard,0.0,0.0,both,0.0,True,True,False,False
calibration.used_vs_ideal,[more] Ask to forget,0.0,0.0,both,0.0,True,True,False,False
calibration.used_vs_ideal,[more] Clear all history,0.0,0.0,both,0.0,True,True,False,False
calibration.used_vs_ideal,[more] Clear all memories,0.0,0.0,both,0.0,True,True,False,False
calibration.used_vs_ideal,[more] Delete account,0.0215,0.0215,both,0.0,True,True,False,False
calibration.used_vs_ideal,[more] Delete single conv,0.001,0.001,both,0.0,True,True,False,False
calibration.used_vs_ideal,[more] Delete specific mem,0.0,0.0,both,0.0,True,True,False,False
calibration.used_vs_ideal,[more] Privacy dashboard,0.0001,0.0001,both,0.0,True,True,False,False
mcnemar.per_method_shift,Clear all conversation history,0.2482,0.2482,both,0.0,False,False,False,False
mcnemar.per_method_shift,Clear all saved memories,1.0,1.0,both,0.0,False,False,False,False
mcnemar.per_method_shift,Delete a specific saved memory or ,0.6476,0.6476,both,0.0,False,False,False,False
mcnemar.per_method_shift,Delete my account entirely,1.0,1.0,both,0.0,False,False,False,False
mcnemar.per_method_shift,Delete this single conversation,0.6583,0.6583,both,0.0,False,False,False,False
mcnemar.per_method_shift,Privacy dashboard or account-level,0.4531,0.4531,both,0.0,False,False,False,False
mcnemar.per_method_shift,Type a message asking the AI Chatb,0.0192,0.0192,both,0.0,True,True,False,False
moderators.continuous,[less] age_group->benefit_loss,0.9915,0.9915,both,0.0,False,False,False,False
moderators.continuous,[less] age_group->effort,0.2072,0.2072,both,0.0,False,False,False,False
moderators.continuous,[less] age_group->protection,0.9286,0.9286,both,0.0,False,False,False,False
moderators.continuous,[less] age_group->willingness,0.6591,0.6591,both,0.0,False,False,False,False
moderators.continuous,[less] chatgpt_tenure->benefit_loss,0.7055,0.7055,both,0.0,False,False,False,False
moderators.continuous,[less] chatgpt_tenure->effort,0.9467,0.9467,both,0.0,False,False,False,False
moderators.continuous,[less] chatgpt_tenure->protection,0.87,0.87,both,0.0,False,False,False,False
moderators.continuous,[less] chatgpt_tenure->willingness,0.4186,0.4186,both,0.0,False,False,False,False
moderators.continuous,[more] age_group->benefit_loss,0.7453,0.7453,both,0.0,False,False,False,False
moderators.continuous,[more] age_group->effort,0.146,0.146,both,0.0,False,False,False,False
moderators.continuous,[more] age_group->protection,0.8089,0.8089,both,0.0,False,False,False,False
moderators.continuous,[more] age_group->willingness,0.2815,0.2815,both,0.0,False,False,False,False
moderators.continuous,[more] chatgpt_tenure->benefit_loss,0.6439,0.6439,both,0.0,False,False,False,False
moderators.continuous,[more] chatgpt_tenure->effort,0.9478,0.9478,both,0.0,False,False,False,False
moderators.continuous,[more] chatgpt_tenure->protection,0.9466,0.9466,both,0.0,False,False,False,False
moderators.continuous,[more] chatgpt_tenure->willingness,0.4108,0.4108,both,0.0,False,False,False,False
moderators.method_choice,[less] age_group->method,0.0184,0.0158,both,0.002599999999999998,True,True,False,True
moderators.method_choice,[less] chatgpt_tenure->method,0.1214,0.1239,both,0.0025000000000000022,False,False,False,True
moderators.method_choice,[more] age_group->method,0.0768,0.08,both,0.0032000000000000084,False,False,False,True
moderators.method_choice,[more] chatgpt_tenure->method,0.0112,0.0145,both,0.003300000000000001,True,True,False,True
stats.between_method,[less|benefit_loss] method KW,0.15154316597751138,0.15154316597751138,both,0.0,False,False,False,False
stats.between_method,[less|effort] method KW,0.0003606853724168921,0.0003606853724168921,both,0.0,True,True,False,False
stats.between_method,[less|protection] method KW,0.1592742907775839,0.1592742907775839,both,0.0,False,False,False,False
stats.between_method,[more|benefit_loss] method KW,0.40884961584918156,0.40884961584918156,both,0.0,False,False,False,False
stats.between_method,[more|effort] method KW,0.0007147731242342263,0.0007147731242342263,both,0.0,True,True,False,False
stats.between_method,[more|protection] method KW,0.910557372431509,0.910557372431509,both,0.0,False,False,False,False
stats.between_scenario_binary,[scenario shift] expectation (Q4.4/Q5.4) opt1,0.031141210595796734,0.031141210595796734,both,0.0,True,True,False,False
stats.between_scenario_binary,[scenario shift] expectation (Q4.4/Q5.4) opt2,0.16373435432458822,0.16373435432458822,both,0.0,False,False,False,False
stats.between_scenario_binary,[scenario shift] expectation (Q4.4/Q5.4) opt3,0.15472892348537434,0.15472892348537434,both,0.0,False,False,False,False
stats.between_scenario_binary,[scenario shift] expectation (Q4.4/Q5.4) opt4,0.8676323347781927,0.8676323347781927,both,0.0,False,False,False,False
stats.between_scenario_binary,[scenario shift] expectation (Q4.4/Q5.4) opt5,0.5707503880581739,0.5707503880581739,both,0.0,False,False,False,False
stats.between_scenario_binary,[scenario shift] expectation (Q4.4/Q5.4) opt6,0.6072387695312499,0.6072387695312499,both,0.0,False,False,False,False
stats.between_scenario_binary,[scenario shift] expectation (Q4.4/Q5.4) opt7,1.0,1.0,both,0.0,False,False,False,False
stats.between_scenario_binary,[scenario shift] verification (Q4.5/Q5.5) opt1,0.7103465689955667,0.7103465689955667,both,0.0,False,False,False,False
stats.between_scenario_binary,[scenario shift] verification (Q4.5/Q5.5) opt2,0.24821307898992026,0.24821307898992026,both,0.0,False,False,False,False
stats.between_scenario_binary,[scenario shift] verification (Q4.5/Q5.5) opt3,0.8318119049072266,0.8318119049072266,both,0.0,False,False,False,False
stats.between_scenario_binary,[scenario shift] verification (Q4.5/Q5.5) opt4,0.4237107971667936,0.4237107971667936,both,0.0,False,False,False,False
stats.between_scenario_binary,[scenario shift] verification (Q4.5/Q5.5) opt5,1.0,1.0,both,0.0,False,False,False,False
stats.between_scenario_binary,[scenario shift] verification (Q4.5/Q5.5) opt6,0.8445192674729399,0.8445192674729399,both,0.0,False,False,False,False
stats.between_scenario_binary,[scenario shift] verification (Q4.5/Q5.5) opt7,0.7744140625,0.7744140625,both,0.0,False,False,False,False
stats.between_scenario_binary,[scenario shift] verification (Q4.5/Q5.5) opt8,1.0,1.0,both,0.0,False,False,False,False
stats.between_scenario_likert,[benefit_loss] scenario Wilcoxon,0.2976153382654104,0.296753464090144,both,0.0008618741752663972,False,False,False,False
stats.between_scenario_likert,[effort] scenario Wilcoxon,0.4867008544722148,0.48536524435392436,both,0.00133561011829042,False,False,False,False
stats.between_scenario_likert,[protection] scenario Wilcoxon,0.0006110686987829347,0.0006075185848985796,both,3.5501138843551305e-06,True,True,False,False
stats.method_switching,[method switching] Stuart-Maxwell,0.3929611268254054,0.3929611268254071,both,1.7208456881689926e-15,False,False,False,False
verify.expectation,[less] made invisible,0.1463,0.1439,both,0.0024000000000000132,False,False,False,True
verify.expectation,[less] not ref. current,0.4372,0.4372,both,0.0,False,False,False,True
